Model,Accuracy,Precision,Sensitivity,Specificity,F1 Score,AUC
XGBoost,83.64952380952381,82.00379528300542,81.39294464192146,85.48344401348878,81.69722814498934,91.49146963551648
AdaBoost,83.04507936507936,79.9136157399207,83.05977652840129,83.03313499142565,81.45632820854686,90.98227251251946
Random Forest,82.58031746031746,80.70255279812272,80.3619730078031,84.38316433988973,80.53190281562216,90.23121030744375
Logistic Regression,82.54031746031745,79.39884897580667,82.44940733292736,82.61420005294234,80.89537929261701,90.44641602145825
Naive Bayes,81.53142857142858,78.47649874504533,81.03040516618752,81.93860991862995,79.73300632646804,88.86625347739171
Bagging,81.11238095238095,80.70755496776326,76.05115205415433,85.22563789749906,78.3101959869342,88.1285991099766
KNN,80.35428571428571,76.99699209233324,80.1155594578902,80.54829836454245,78.5253251530336,86.73055460070086
Decision Tree,75.70793650793651,72.48203688518893,73.85750499199865,77.2117808187646,73.16330681929773,75.53464290538163
