Model,Accuracy,Precision,Sensitivity,Specificity,F1 Score,AUC
XGBoost,81.89650793650793,79.21338958587765,80.83214139039553,82.7615178335079,80.01457920080746,89.80006193714992
AdaBoost,81.12063492063491,77.31245155945159,81.93392151586818,80.45967751217098,79.55612697408678,89.14491944879175
Random Forest,80.60952380952381,78.02660474745072,78.99678529449251,81.92019519605925,78.50869785509205,88.28840253983475
Logistic Regression,80.52380952380952,76.22944359796143,82.18741591491651,79.17179785238298,79.09639169988756,88.3999266349478
Bagging,78.9231746031746,77.9996108774713,73.80652287822356,83.08147363817372,75.84515753474496,86.00822203619478
Naive Bayes,78.56126984126985,73.19376077952488,82.3361137467605,75.4934570188866,77.49623448809032,86.54965683824788
KNN,78.4152380952381,74.5537450546503,78.72629685751915,78.16244087147675,76.58322886387745,84.5578149788394
Decision Tree,73.13587301587302,69.65635070563397,71.01666831886479,74.85814909019761,70.32993233056345,72.93740870453121
