Model,Accuracy,ROC-AUC,PR-AUC,Precision,Recall (Sensitivity),F1-Score
Decision Tree,0.8808015873015873,0.8227296351835638,0.8476680657184833,0.8724617349232899,0.8595222907364094,0.8659436783148123
Random Forest,0.884531746031746,0.9521227767352488,0.944658118244784,0.8692631838778496,0.8735913246863704,0.8714218801092326
XGBoost,0.8853888888888889,0.9541870386365966,0.9473428963286455,0.8634483236113756,0.8839038911333191,0.8735563747165285
XGBoost (Tuned),0.887,0.9551569013470652,0.948310070169927,0.8663402437753933,0.8841165213693387,0.8751381215469614
LightGBM,0.886468253968254,0.9542127996447272,0.947363230480716,0.8724254371232077,0.8743886880714438,0.8734059593447729
ANN,0.880436507936508,0.949234379211185,0.9415983413408078,0.8777414583371378,0.8516904103763555,0.8645197262516076
